src_id,dst_id,edge_type,weight_pr,reasons
cg:near,class:Artificial Intelligence,A-B,0.043730441417828,pertenece a categoria
cg:near,exp:nearblocks.io,A-D,0.043730441417828,explorador asociado
cg:near,exp:platform.arkhamintelligence.com,A-D,0.043730441417828,explorador asociado
cg:near,exp:explorer.near.org,A-D,0.043730441417828,explorador asociado
cg:near,exp:etherscan.io,A-D,0.043730441417828,explorador asociado
cg:near,exp:ethplorer.io,A-D,0.043730441417828,explorador asociado
cg:bittensor,class:Artificial Intelligence,A-B,0.0256935784235046,pertenece a categoria
cg:bittensor,exp:taostats.io,A-D,0.0256935784235046,explorador asociado
cg:story-2,class:Artificial Intelligence,A-B,0.0448691305234247,pertenece a categoria
cg:story-2,exp:www.storyscan.xyz,A-D,0.0448691305234247,explorador asociado
cg:internet-computer,class:Artificial Intelligence,A-B,0.0177610344106154,pertenece a categoria
cg:internet-computer,exp:dashboard.internetcomputer.org,A-D,0.0177610344106154,explorador asociado
cg:internet-computer,exp:etherscan.io,A-D,0.0177610344106154,explorador asociado
cg:internet-computer,exp:ethplorer.io,A-D,0.0177610344106154,explorador asociado
cg:internet-computer,exp:basescan.org,A-D,0.0177610344106154,explorador asociado
cg:render-token,class:Artificial Intelligence,A-B,0.0175440241584167,pertenece a categoria
cg:render-token,exp:solscan.io,A-D,0.0175440241584167,explorador asociado
cg:render-token,exp:platform.arkhamintelligence.com,A-D,0.0175440241584167,explorador asociado
cg:render-token,exp:polygonscan.com,A-D,0.0175440241584167,explorador asociado
cg:render-token,exp:etherscan.io,A-D,0.0175440241584167,explorador asociado
cg:render-token,exp:polygon.dex.guru,A-D,0.0175440241584167,explorador asociado
cg:render-token,exp:ethplorer.io,A-D,0.0175440241584167,explorador asociado
cg:fetch-ai,class:Artificial Intelligence,A-B,0.0169127213352006,pertenece a categoria
cg:fetch-ai,exp:explore.fetch.ai,A-D,0.0169127213352006,explorador asociado
cg:fetch-ai,exp:platform.arkhamintelligence.com,A-D,0.0169127213352006,explorador asociado
cg:fetch-ai,exp:www.mintscan.io,A-D,0.0169127213352006,explorador asociado
cg:fetch-ai,exp:etherscan.io,A-D,0.0169127213352006,explorador asociado
cg:fetch-ai,exp:bscscan.com,A-D,0.0169127213352006,explorador asociado
cg:fetch-ai,exp:ethplorer.io,A-D,0.0169127213352006,explorador asociado
cg:fetch-ai,exp:atomscan.com,A-D,0.0169127213352006,explorador asociado
cg:fetch-ai,exp:binplorer.com,A-D,0.0169127213352006,explorador asociado
cg:fetch-ai,exp:cardanoscan.io,A-D,0.0169127213352006,explorador asociado
cg:the-graph,class:Artificial Intelligence,A-B,0.0076393326081381,pertenece a categoria
cg:the-graph,exp:etherscan.io,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:platform.arkhamintelligence.com,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:ethplorer.io,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:polygonscan.com,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:arbiscan.io,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:snowtrace.io,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:avascan.info,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:explorer.energi.network,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:nearblocks.io,A-D,0.0076393326081381,explorador asociado
cg:the-graph,exp:explorer.harmony.one,A-D,0.0076393326081381,explorador asociado
cg:zero-gravity,class:Artificial Intelligence,A-B,0.0393692673940997,pertenece a categoria
cg:zero-gravity,exp:chainscan.0g.ai,A-D,0.0393692673940997,explorador asociado
cg:zero-gravity,exp:bscscan.com,A-D,0.0393692673940997,explorador asociado
cg:zero-gravity,exp:binplorer.com,A-D,0.0393692673940997,explorador asociado
cg:zero-gravity,exp:etherscan.io,A-D,0.0393692673940997,explorador asociado
cg:zero-gravity,exp:ethplorer.io,A-D,0.0393692673940997,explorador asociado
