node_id,node_type,name,symbol,category,market_cap,volume_24h,rank,is_multichain,chain_platforms,main_contract,links_explorers,wallets_inferred
class:Artificial Intelligence,B,Artificial Intelligence,,,,,,,,,,
class:Gaming,B,Gaming,,,,,,,,,,
class:Real World Assets,B,Real World Assets,,,,,,,,,,
class:Memes,B,Memes,,,,,,,,,,
cg:near,A,NEAR Protocol,near,Artificial Intelligence,3418626888.0,180757666.0,49.0,False,"['', 'ethereum']",0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4,"['nearblocks.io', 'platform.arkhamintelligence.com', 'explorer.near.org', 'etherscan.io', 'ethplorer.io']","['MetaMask', 'Trust Wallet']"
exp:nearblocks.io,D,nearblocks.io,,,,,,,,,,
exp:platform.arkhamintelligence.com,D,platform.arkhamintelligence.com,,,,,,,,,,
exp:explorer.near.org,D,explorer.near.org,,,,,,,,,,
exp:etherscan.io,D,etherscan.io,,,,,,,,,,
exp:ethplorer.io,D,ethplorer.io,,,,,,,,,,
cg:bittensor,A,Bittensor,tao,Artificial Intelligence,2893752292.0,73717151.0,54.0,False,[''],,['taostats.io'],[]
exp:taostats.io,D,taostats.io,,,,,,,,,,
cg:story-2,A,Story,ip,Artificial Intelligence,2778527667.0,234132277.0,57.0,False,[''],,['www.storyscan.xyz'],[]
exp:www.storyscan.xyz,D,www.storyscan.xyz,,,,,,,,,,
cg:internet-computer,A,Internet Computer,icp,Artificial Intelligence,2264049277.0,45022680.0,64.0,True,"['internet-computer', 'ethereum', 'base']",ryjl3-tyaaa-aaaaa-aaaba-cai,"['dashboard.internetcomputer.org', 'etherscan.io', 'ethplorer.io', 'basescan.org']","['MetaMask', 'Trust Wallet']"
exp:dashboard.internetcomputer.org,D,dashboard.internetcomputer.org,,,,,,,,,,
exp:basescan.org,D,basescan.org,,,,,,,,,,
cg:render-token,A,Render,render,Artificial Intelligence,1752390737.0,56755531.0,85.0,True,"['ethereum', 'solana']",0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,"['solscan.io', 'platform.arkhamintelligence.com', 'polygonscan.com', 'etherscan.io', 'polygon.dex.guru', 'ethplorer.io']","['MetaMask', 'Phantom', 'Solflare', 'Trust Wallet']"
exp:solscan.io,D,solscan.io,,,,,,,,,,
exp:polygonscan.com,D,polygonscan.com,,,,,,,,,,
exp:polygon.dex.guru,D,polygon.dex.guru,,,,,,,,,,
cg:fetch-ai,A,Artificial Superintelligence Alliance,fet,Artificial Intelligence,1474007510.0,62705841.0,97.0,True,"['ethereum', 'cardano', 'osmosis', 'binance-smart-chain']",0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,"['explore.fetch.ai', 'platform.arkhamintelligence.com', 'www.mintscan.io', 'etherscan.io', 'bscscan.com', 'ethplorer.io', 'atomscan.com', 'binplorer.com', 'cardanoscan.io']","['MetaMask', 'Trust Wallet']"
exp:explore.fetch.ai,D,explore.fetch.ai,,,,,,,,,,
exp:www.mintscan.io,D,www.mintscan.io,,,,,,,,,,
exp:bscscan.com,D,bscscan.com,,,,,,,,,,
exp:atomscan.com,D,atomscan.com,,,,,,,,,,
exp:binplorer.com,D,binplorer.com,,,,,,,,,,
exp:cardanoscan.io,D,cardanoscan.io,,,,,,,,,,
cg:the-graph,A,The Graph,grt,Artificial Intelligence,845786582.0,22296195.0,130.0,True,"['ethereum', 'near-protocol', 'harmony-shard-0', 'energi', 'sora', 'avalanche', 'polygon-pos', 'arbitrum-one']",0xc944e90c64b2c07662a292be6244bdf05cda44a7,"['etherscan.io', 'platform.arkhamintelligence.com', 'ethplorer.io', 'polygonscan.com', 'arbiscan.io', 'snowtrace.io', 'avascan.info', 'explorer.energi.network', 'nearblocks.io', 'explorer.harmony.one']","['Core', 'MetaMask', 'Trust Wallet']"
exp:arbiscan.io,D,arbiscan.io,,,,,,,,,,
exp:snowtrace.io,D,snowtrace.io,,,,,,,,,,
exp:avascan.info,D,avascan.info,,,,,,,,,,
exp:explorer.energi.network,D,explorer.energi.network,,,,,,,,,,
exp:explorer.harmony.one,D,explorer.harmony.one,,,,,,,,,,
cg:zero-gravity,A,0G,0g,Artificial Intelligence,720539939.0,695084037.0,142.0,True,"['binance-smart-chain', 'ethereum']",0x4b948d64de1f71fcd12fb586f4c776421a35b3ee,"['chainscan.0g.ai', 'bscscan.com', 'binplorer.com', 'etherscan.io', 'ethplorer.io']","['MetaMask', 'Trust Wallet']"
exp:chainscan.0g.ai,D,chainscan.0g.ai,,,,,,,,,,
cg:theta-token,A,Theta Network,theta,Artificial Intelligence,680633387.0,17002303.0,147.0,False,[''],,"['explorer.thetatoken.org', 'explorer.energi.network']",[]
exp:explorer.thetatoken.org,D,explorer.thetatoken.org,,,,,,,,,,
cg:virtual-protocol,A,Virtuals Protocol,virtual,Artificial Intelligence,672316781.0,47108590.0,149.0,True,"['ethereum', 'solana', 'base']",0x44ff8620b8ca30902395a7bd3f2407e1a091bf73,"['etherscan.io', 'platform.arkhamintelligence.com', 'ethplorer.io', 'basescan.org', 'solscan.io']","['MetaMask', 'Phantom', 'Solflare', 'Trust Wallet']"
cg:beldex,A,Beldex,bdx,Artificial Intelligence,649840379.0,7017572.0,156.0,False,[''],,['explorer.beldex.io'],[]
exp:explorer.beldex.io,D,explorer.beldex.io,,,,,,,,,,
cg:dexe,A,DeXe,dexe,Artificial Intelligence,527640314.0,8712642.0,178.0,True,"['ethereum', 'binance-smart-chain']",0xde4ee8057785a7e8e800db58f9784845a5c2cbd6,"['etherscan.io', 'platform.arkhamintelligence.com', 'ethplorer.io', 'bscscan.com', 'binplorer.com']","['MetaMask', 'Trust Wallet']"
cg:solmev,A,SolMev,sn116,Artificial Intelligence,390073544.0,0.0,220.0,False,['bittensor'],116,['taostats.io'],[]
cg:arweave,A,Arweave,ar,Artificial Intelligence,363526779.0,27168956.0,230.0,False,[''],,['viewblock.io'],[]
exp:viewblock.io,D,viewblock.io,,,,,,,,,,
cg:aioz-network,A,AIOZ Network,aioz,Artificial Intelligence,329364470.0,9211228.0,247.0,True,"['ethereum', 'osmosis', 'binance-smart-chain']",0x626e8036deb333b408be468f951bdb42433cbf18,"['explorer.aioz.network', 'platform.arkhamintelligence.com', 'etherscan.io', 'bscscan.com', 'binplorer.com', 'ethplorer.io', 'www.mintscan.io']","['MetaMask', 'Trust Wallet']"
exp:explorer.aioz.network,D,explorer.aioz.network,,,,,,,,,,
cg:kaito,A,KAITO,kaito,Artificial Intelligence,306845128.0,204780764.0,260.0,False,['base'],0x98d0baa52b2d063e780de12f615f963fe8537553,['basescan.org'],[]
cg:akash-network,A,Akash Network,akt,Artificial Intelligence,278403931.0,8936753.0,276.0,True,"['akash', 'archway', 'osmosis']",uakt,"['www.mintscan.io', 'akash.aneka.io', 'akash.ping.pub', 'atomscan.com']",[]
exp:akash.aneka.io,D,akash.aneka.io,,,,,,,,,,
exp:akash.ping.pub,D,akash.ping.pub,,,,,,,,,,
cg:grass,A,Grass,grass,Artificial Intelligence,278004934.0,81510189.0,277.0,False,['solana'],Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,"['solscan.io', 'platform.arkhamintelligence.com']","['Phantom', 'Solflare']"
cg:livepeer,A,Livepeer,lpt,Artificial Intelligence,272704019.0,15086592.0,280.0,True,"['ethereum', 'harmony-shard-0', 'arbitrum-one']",0x58b6a8a3302369daec383334672404ee733ab239,"['etherscan.io', 'platform.arkhamintelligence.com', 'ethplorer.io', 'hubble.figment.network', 'explorer.livepeer.org', 'arbiscan.io', 'arbitrum.dex.guru', 'explorer.harmony.one']","['MetaMask', 'Trust Wallet']"
exp:hubble.figment.network,D,hubble.figment.network,,,,,,,,,,
exp:explorer.livepeer.org,D,explorer.livepeer.org,,,,,,,,,,
exp:arbitrum.dex.guru,D,arbitrum.dex.guru,,,,,,,,,,
cg:arkham,A,Arkham,arkm,Artificial Intelligence,256004861.0,37121952.0,292.0,False,['ethereum'],0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,"['platform.arkhamintelligence.com', 'etherscan.io', 'ethplorer.io']","['MetaMask', 'Trust Wallet']"
cg:stp-network,A,AWE Network,awe,Artificial Intelligence,229183569.0,32345633.0,307.0,False,['base'],0x1b4617734c43f6159f3a70b7e06d883647512778,['basescan.org'],[]
cg:iotex,A,IoTeX,iotx,Artificial Intelligence,221550427.0,5468192.0,316.0,True,"['ethereum', 'base']",0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,"['iotexscan.io', 'platform.arkhamintelligence.com', 'explorer.energi.network', 'etherscan.io', 'ethplorer.io', 'basescan.org']","['MetaMask', 'Trust Wallet']"
exp:iotexscan.io,D,iotexscan.io,,,,,,,,,,
cg:golem,A,Golem,glm,Artificial Intelligence,218022461.0,8488402.0,320.0,True,"['ethereum', 'energi']",0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,"['etherscan.io', 'platform.arkhamintelligence.com', 'ethplorer.io', 'explorer.energi.network']","['MetaMask', 'Trust Wallet']"
cg:theta-fuel,A,Theta Fuel,tfuel,Artificial Intelligence,216395255.0,1770762.0,321.0,False,[''],,['explorer.thetatoken.org'],[]
cg:qubic-network,A,Qubic,qubic,Artificial Intelligence,197800068.0,4589889.0,337.0,False,[''],,['explorer.qubic.org'],[]
exp:explorer.qubic.org,D,explorer.qubic.org,,,,,,,,,,
